2025-05-30 07:57:25,131 - INFO - Get - Instituições
2025-05-30 07:57:25,293 - INFO - (1, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088152', '190.0', '2', '21', 2100055)
2025-05-30 08:08:16,341 - INFO - Get - Instituições
2025-05-30 08:08:16,450 - INFO - (1, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088152', '190.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,450 - INFO - (2, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088179', '586.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,450 - INFO - (3, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088217', '304.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,450 - INFO - (4, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088276', '282.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (5, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088357', '420.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (6, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088420', '72.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (7, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088462', '498.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (8, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088519', '346.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (9, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088527', '166.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (10, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088551', '702.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (11, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088560', '644.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (12, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088870', '36.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,451 - INFO - (13, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21088896', '343.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (14, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089086', '382.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (15, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089094', '40.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (16, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089116', '401.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (17, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089140', '149.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (18, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089191', '440.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (19, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089248', '243.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (20, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089299', '37.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (21, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089329', '164.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (22, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089337', '203.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,452 - INFO - (23, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089396', '299.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (24, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089698', '64.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (25, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089744', '526.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (26, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089787', '391.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (27, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089981', '811.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (28, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21089990', '314.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (29, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090009', '482.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (30, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090033', '157.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (31, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090041', '36.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (32, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090068', '94.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (33, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090084', '298.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (34, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090092', '17.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (35, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090149', '165.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (36, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090173', '246.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (37, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090203', '377.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (38, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090211', '148.0', '2', '21', '2100055', '9', '2')
